"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-location","img-wrp href","he-lazy-image src","listing-card--owner-info__firm-name","eids-badge__description","eids-badge__label","he-lazy-image src 2","img-wrp href 2","he-lazy-image src 3","listing-card--owner-info__name","list-view-header"
"https://www.hepsiemlak.com/istanbul-sisli-tesvikiye-kiralik/residence/8525-56667","19","120.000","07-05-2025","Kiralık Residence","1 +
                          1","95 m²","Sıfır Bina","1. Kat","İstanbul / Şişli / Teşvikiye Mah.","https://www.hepsiemlak.com/emlak-ofisi/versatie-selenium-twins-zorlu-center-8525/sinan-cizmeci-8525","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/5/2/5/8/0/0/d6f97f13-b255-4f55-acd8-a4745e3d74b6.jpg","Versatıe Selenıum Twins Zorlu Center","","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/4/0/2/9/1/4/4/0f8e359f-cd62-4056-a20b-934263283764.jpg","https://www.hepsiemlak.com/emlak-ofisi/versatie-selenium-twins-zorlu-center-8525","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/5/2/5/8/0/0/7d55d022-1b95-403d-96bf-b966e1d3818e.jpg","Sinan
          Çizmeci","Versatie Gayrimenkul Nişantaşı Koru'da Kiralık 1+1 Daire"
"https://www.hepsiemlak.com/istanbul-beykoz-anadolu-hisari-kiralik/daire/70850-2794","36","120.000","11-04-2025","Kiralık Daire","3 +
                          1","180 m²","30
                        Yaşında","2. Kat","İstanbul / Beykoz / Anadolu Hisarı Mah.","https://www.hepsiemlak.com/emlak-ofisi/mavi-kapi-gayrimenkul-70850/manolya-budeyri-1347710","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/0/1/7/7/4/3/1/ab87f0a4-4eaa-4b0e-ac50-ecf9aa4c3582.jpg","Mavi Kapı Gayrimenkul","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/8/7/1/5/0/4/4/c485060b-2e8d-4dfb-bdee-88c42cd862ea.jpg","https://www.hepsiemlak.com/emlak-ofisi/mavi-kapi-gayrimenkul-70850","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/0/5/8/0/7/0/275afa25-1689-4553-8d6a-415ec05912ba.jpg","Manolya
          Budeyri","Anadolu Hisarında İskeleye Yakın Boğaz Manzaralı Kiralık Daire"
"https://www.hepsiemlak.com/istanbul-sariyer-emirgan-kiralik/daire/2608-6543","18","75.000","30-04-2025","Kiralık Daire","1 +
                          1","105 m²","45
                        Yaşında","1. Kat","İstanbul / Sarıyer / Emirgan Mah.","https://www.hepsiemlak.com/emlak-ofisi/coldwell-banker-power-gayrimenkul-2608","https://hecdn01.hemlak.com/img/eids-logo-mini.png","Coldwell Banker Power Gayrimenkul","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/4/1/0/5/5/4/4/c7eef29a-7621-4e83-9933-4220cdec3b71.jpg","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/8/0/6/2/0/0/86693a32-8d30-4fcd-975c-a43960872292.jpg","","Emirganda Boğaz Manzaralı Kiralık Daire"
"https://www.hepsiemlak.com/istanbul-besiktas-levent-kiralik/villa/2608-5227","47","265.000","29-04-2025","Kiralık Villa","5 +
                          1","285 m²","50
                        Yaşında","","İstanbul / Beşiktaş / Levent Mah.","https://www.hepsiemlak.com/emlak-ofisi/coldwell-banker-power-gayrimenkul-2608/sevgi-hancer-2608","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/8/0/6/2/0/0/099a0e77-bd82-4caf-9c85-8278ac6a5dac.jpg","Coldwell Banker Power Gayrimenkul","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/1/9/4/6/0/3/4/a09d433d-7fd0-4bf7-bc99-2d58d00739c9.jpg","https://www.hepsiemlak.com/emlak-ofisi/coldwell-banker-power-gayrimenkul-2608","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/8/0/6/2/0/0/86693a32-8d30-4fcd-975c-a43960872292.jpg","Sevgi
          Hançer","Fırsat Kiralık Akatlar Müstakil Bahçeli 285m2 5+1 Konuta İşyerine Villa"
"https://www.hepsiemlak.com/istanbul-besiktas-dikilitas-kiralik/residence/98015-2163","60","360.000","03-05-2025","Kiralık Residence","5 +
                          2","550 m²","15
                        Yaşında","21 ve üzeri","İstanbul / Beşiktaş / Dikilitaş Mah.","https://www.hepsiemlak.com/emlak-ofisi/artistanbul-gayrimenkul-zorlu-center-98015/gulcin-gonul-2068637","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/7/3/6/8/6/0/2/6bf57ef1-96dd-4954-a46c-ba149eff3f18.jpg","Artistanbul Gayrimenkul Zorlu Center","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/8/1/6/0/5/4/4/c571d329-5ceb-4610-a749-61a1fe8f5e5f.jpg","https://www.hepsiemlak.com/emlak-ofisi/artistanbul-gayrimenkul-zorlu-center-98015","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/5/1/0/8/9/0/b6a73031-63c7-40f7-9a17-a85e62592e9e.jpg","Gülçin
          Gönül","Selenium Twins 'de Kiralık 550m2 Dubleks Boğaz Manzaralı 5+2"
"https://www.hepsiemlak.com/istanbul-kagithane-seyrantepe-kiralik/daire/137813-366","17","40.000","04-05-2025","Kiralık Daire","2 +
                          1","90 m²","20
                        Yaşında","2. Kat","İstanbul / Kağıthane / Seyrantepe Mah.","","https://hecdn01.hemlak.com/img/eids-logo-mini.png","","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","","","","","Öğrenci &bekar& Yabancı Seyrantepe Metrosuna Yürüme Mesafesinde Eşyalı Kiralık Daire"
"https://www.hepsiemlak.com/istanbul-esenyurt-akevler-kiralik/daire/105258-2609","11","25.000","01-05-2025","Kiralık Daire","3 +
                          1","130 m²","8
                        Yaşında","Ara Kat","İstanbul / Esenyurt / Akevler Mah.","https://www.hepsiemlak.com/emlak-ofisi/zmk-yapi-insaat-as-105258/ali-kalkan-2209138","https://www.hepsiemlak.com/_nuxt/img/no-image-user.6f6a83e.svg","Zmk Yapı İnşaat A.Ş","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/8/5/2/5/0/1/1ef41f6d-174e-4b94-addc-ce13ad912c3d.jpg","https://www.hepsiemlak.com/emlak-ofisi/zmk-yapi-insaat-as-105258","","Ali
          Kalkan","Esenyurtda Metrobüse Yürüme Mesafesinde 3+1 Eşyalı Kiralık Daire"
"https://www.hepsiemlak.com/istanbul-esenyurt-talatpasa-kiralik/daire/105258-2631","14","15.000","01-05-2025","Kiralık Daire","2 +
                          1","95 m²","4
                        Yaşında","Ara Kat","İstanbul / Esenyurt / Talatpaşa Mah.","https://www.hepsiemlak.com/emlak-ofisi/zmk-yapi-insaat-as-105258/ali-kalkan-2209138","https://www.hepsiemlak.com/_nuxt/img/no-image-user.6f6a83e.svg","Zmk Yapı İnşaat A.Ş","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/8/5/2/5/0/1/1ef41f6d-174e-4b94-addc-ce13ad912c3d.jpg","https://www.hepsiemlak.com/emlak-ofisi/zmk-yapi-insaat-as-105258","","Ali
          Kalkan","Esenyurt Talatpaşa Mah. 2+1 Ebeveyn Banyolu Kiralık Daire"
"https://www.hepsiemlak.com/istanbul-sisli-merkez-kiralik/residence/98015-1405","30","50.000","02-05-2025","Kiralık Residence","1 +
                          1","70 m²","1
                        Yaşında","12. Kat","İstanbul / Şişli / Merkez Mah.","https://www.hepsiemlak.com/emlak-ofisi/artistanbul-gayrimenkul-zorlu-center-98015","","Artistanbul Gayrimenkul Zorlu Center","","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/0/1/4/1/0/8/3/5e44e08a-64b3-4f52-bd46-02921c037936.jpg","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/5/1/0/8/9/0/b6a73031-63c7-40f7-9a17-a85e62592e9e.jpg","","Bomonti By Rotana'da Kiralık 1+1 Daire"
"https://www.hepsiemlak.com/istanbul-besiktas-levent-kiralik/residence/98015-2022","53","140.000","29-04-2025","Kiralık Residence","3 +
                          1","250 m²","15
                        Yaşında","16. Kat","İstanbul / Beşiktaş / Levent Mah.","https://www.hepsiemlak.com/emlak-ofisi/artistanbul-gayrimenkul-zorlu-center-98015/gulcin-gonul-2068637","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/7/3/6/8/6/0/2/6bf57ef1-96dd-4954-a46c-ba149eff3f18.jpg","Artistanbul Gayrimenkul Zorlu Center","","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/6/1/9/9/7/2/4/855cace5-0ebe-4fdd-b7c7-c3a1cb4eaf92.jpg","https://www.hepsiemlak.com/emlak-ofisi/artistanbul-gayrimenkul-zorlu-center-98015","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/5/1/0/8/9/0/b6a73031-63c7-40f7-9a17-a85e62592e9e.jpg","Gülçin
          Gönül","Levent Sapphire Residence Kiralık 3+1 Müstakil Teraslı Daire"
