"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","eids-badge__description","he-lazy-image src","eids-badge__label","list-view-header","list-view-location","img-wrp href","he-lazy-image src 2","he-lazy-image src 3","listing-card--owner-info__firm-name"
"https://www.hepsiemlak.com/konya-selcuklu-kosova-kiralik/daire/145022-106","29","28.000","18-04-2025","Kiralık Daire","4 +
                          1","219 m²","8
                        Yaşında","4. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Beymira Yapı'dan Kosova Mahallesi Kiralık 4+1 Lüks Daire","Konya / Selçuklu / Kosova Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/6/2/3/9/4/4/4/63539e1e-9b0b-4983-905a-8be2a0788a66.jpg","",""
"https://www.hepsiemlak.com/konya-eregli-toros-kiralik/daire/146865-183","17","8.000","16-04-2025","Kiralık Daire","1 +
                          1","70 m²","Sıfır Bina","En Üst Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Toros Mahallesinde Kiralık 1+1 Geniş Daire","Konya / Ereğli / Toros Mah.","https://www.hepsiemlak.com/emlak-ofisi/basyigit-gayrimenkul-146865","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/5/6/8/6/4/1/38cf7ba1-64fb-4ad2-934d-361ebe14318b.jpg","","Başyiğit Gayrimenkul"
"https://www.hepsiemlak.com/konya-meram-godene-kiralik/mustakil-ev/127826-779","60","100.000","30-04-2025","Kiralık Müstakil Ev","8 +
                          1","450 m²","16
                        Yaşında","Bahçe Katı","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Gödene Mahallesi Pamukçu Yol Üzeri Taşınmazlarımız Kiralık","Konya / Meram / Gödene Mah.","https://www.hepsiemlak.com/emlak-ofisi/fullemlak-tv-127826/zafer-inan-3180479","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/9/7/4/0/8/1/3/ed8036f3-cab2-4514-8237-ce4badc1d5c4.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/6/2/8/7/2/1/9a8aa4d5-88f4-4a21-adb8-26353eb7618a.jpg","Fullemlak Tv"
"https://www.hepsiemlak.com/konya-meram-uluirmak-kiralik/daire/81846-2131","27","21.000","06-05-2025","Kiralık Daire","3 +
                          1","170 m²","10
                        Yaşında","Yüksek Giriş","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Uluırmak Mahallesinde Kiralık Daire","Konya / Meram / Uluırmak Mah.","","","",""
"https://www.hepsiemlak.com/konya-selcuklu-sancak-kiralik/daire/2168-2276","33","20.000","30-04-2025","Kiralık Daire","3 +
                          1","150 m²","15
                        Yaşında","Ara Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Uğuremlak'tan Novaland Avm Civarı 3+1 Yapılı Kiralık Daire","Konya / Selçuklu / Sancak Mah.","https://www.hepsiemlak.com/emlak-ofisi/ugur-emlak-2168","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/6/8/7/9/4/4/4/1745012831025-44497866.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/8/6/1/2/0/0/64e92276-627a-45b2-9cb0-52a40e2c7dbe.jpg","Uğur Emlak"
"https://www.hepsiemlak.com/konya-beysehir-beytepe-kiralik/daire/0-44594244","7","10.000","08-05-2025","Kiralık Daire","2 +
                          1","95 m²","25
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Sahibinden Beytepe De Kiralık","Konya / Beyşehir / Beytepe Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/4/2/4/9/5/4/4/rNWY6Hou0wIPgF0uBQx5U.jpeg","",""
"https://www.hepsiemlak.com/konya-eregli-toros-kiralik/daire/112304-165","7","11.500","08-05-2025","Kiralık Daire","1 +
                          1","65 m²","1
                        Yaşında","2. Kat","","","","Toros Mahallesi’nde Eşyalı Kiralık 1+1 Daire","Konya / Ereğli / Toros Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/1/8/1/0/5/4/4/1745082650-570483-44501813.jpeg","",""
"https://www.hepsiemlak.com/konya-selcuklu-binkonutlar-kiralik/daire/124474-128","16","11.000","02-05-2025","Kiralık Daire","3 +
                          1","110 m²","28
                        Yaşında","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Kiralık 3+1 Daire","Konya / Selçuklu / Binkonutlar Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/1/1/8/4/5/4/4/1745938455028-44548110.jpg","",""
"https://www.hepsiemlak.com/konya-selcuklu-feritpasa-kiralik/daire/95118-421","16","25.000","22-04-2025","Kiralık Daire","3 +
                          1","160 m²","29
                        Yaşında","6. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Nalçacı Kerkük Cad. Üzeri Rafet Emlak'tan 3+1 Kiralık Daire","Konya / Selçuklu / Feritpaşa Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/1/8/0/5/4/4/4/d239dbaf-0575-4ea6-bc5b-61f3ba57a08c.jpg","",""
"https://www.hepsiemlak.com/konya-eregli-atakent-kiralik/daire/134421-82","12","12.000","30-04-2025","Kiralık Daire","1 +
                          1","55 m²","3
                        Yaşında","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Aybars Gayrimenkul 'de Hastane Yanında Kiralık 1+1 Eşyalı Daire","Konya / Ereğli / Atakent Mah.","https://www.hepsiemlak.com/emlak-ofisi/aybars-gayrimenkul-134421","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/2/0/8/0/5/4/4/b0aef02504c32626960836dc27241b704c60c72bd23545d4c8eb805fdbb549e2ae40b5fdc9e58d4604eb78d9c524667e.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/2/4/4/3/1/7b4b0ad7-ff44-4078-9cda-2706259e6977.jpg","Aybars Gayrimenkul"
"https://www.hepsiemlak.com/konya-selcuklu-hacikaymak-kiralik/daire/64166-121","20","15.000","07-05-2025","Kiralık Daire","2 +
                          1","155 m²","30
                        Yaşında","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Hacıkaymak Mahallesi Kombili Kiralık Daire","Konya / Selçuklu / Hacıkaymak Mah.","https://www.hepsiemlak.com/emlak-ofisi/cadde-emlak-64166","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/6/0/1/4/5/2/2/8c0a07e8-233e-4519-8859-a63aa75f0458.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/6/6/1/4/6/0/aab2eb77-bd6b-47d1-b53d-6568a4d8a178.jpg","Cadde Emlak"
"https://www.hepsiemlak.com/konya-selcuklu-ihsaniye-kiralik/daire/90958-151","20","11.000","30-04-2025","Kiralık Daire","3 +
                          1","140 m²","30
                        Yaşında","5. Kat","","","","Emlak81den Konya Selçuklu İhsaniyede Sobalı Asansörlü Daire","Konya / Selçuklu / İhsaniye Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/2/6/4/2/5/4/4/1745504354535-44524620.jpg","",""
"https://www.hepsiemlak.com/konya-eregli-piromer-kiralik/daire/146865-181","28","19.750","21-04-2025","Kiralık Daire","4 +
                          1","200 m²","10
                        Yaşında","Ara Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Pirömer Mahallesinde Kiralık Eşyalı 4+1 Daire","Konya / Ereğli / Pirömer Mah.","https://www.hepsiemlak.com/emlak-ofisi/basyigit-gayrimenkul-146865","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/1/8/3/7/4/4/4/1744653406-12689-44473817.jpeg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/5/6/8/6/4/1/38cf7ba1-64fb-4ad2-934d-361ebe14318b.jpg","Başyiğit Gayrimenkul"
